iter	Passed	Remaining
404	9182	13490
405	9215	13482
406	9250	13477
407	9282	13468
408	9313	13458
409	9344	13447
410	9377	13438
411	9399	13414
412	9429	13402
413	9453	13380
414	9476	13358
415	9490	13322
416	9502	13285
417	9515	13249
418	9532	13218
419	9546	13182
420	9559	13147
421	9571	13109
422	9585	13075
423	9597	13038
424	9609	13001
425	9621	12964
426	9636	12931
427	9653	12901
428	9664	12863
429	9680	12832
430	9701	12808
431	9724	12785
432	9743	12759
433	9765	12735
434	9783	12707
435	9806	12685
436	9821	12653
437	9834	12618
438	9846	12582
439	9858	12547
440	9871	12512
441	9883	12477
442	9895	12442
443	9910	12410
444	9939	12396
445	9973	12388
446	10007	12380
447	10041	12372
448	10073	12361
449	10115	12363
450	10151	12357
451	10178	12340
452	10192	12307
453	10205	12273
454	10223	12245
455	10233	12208
456	10246	12175
457	10261	12143
458	10276	12112
459	10291	12081
460	10306	12050
461	10322	12020
462	10337	11989
463	10350	11956
464	10364	11924
465	10376	11891
466	10391	11859
467	10404	11827
468	10416	11793
469	10430	11761
470	10442	11728
471	10455	11696
472	10473	11669
473	10485	11636
474	10500	11605
475	10511	11571
476	10523	11538
477	10537	11506
478	10549	11474
479	10562	11442
480	10574	11409
481	10587	11377
482	10598	11345
483	10610	11311
484	10622	11279
485	10634	11247
486	10649	11217
487	10661	11185
488	10673	11153
489	10685	11122
490	10703	11095
491	10736	11085
492	10769	11075
493	10804	11066
494	10838	11057
495	10869	11045
496	10908	11040
497	10940	11028
498	10960	11004
499	10976	10976
500	10988	10945
501	11001	10913
502	11014	10882
503	11030	10854
504	11044	10826
505	11057	10795
506	11071	10765
507	11088	10739
508	11104	10711
509	11117	10681
510	11131	10652
511	11145	10623
512	11159	10593
513	11176	10567
514	11190	10538
515	11203	10508
516	11216	10478
517	11232	10451
518	11246	10422
519	11260	10393
520	11274	10365
521	11286	10335
522	11297	10303
523	11311	10275
524	11325	10247
525	11343	10222
526	11362	10197
527	11378	10171
528	11396	10147
529	11409	10118
530	11421	10088
531	11433	10057
532	11445	10028
533	11459	9999
534	11471	9970
535	11484	9941
536	11496	9912
537	11510	9884
538	11522	9855
539	11536	9827
540	11550	9799
541	11564	9772
542	11576	9742
543	11590	9715
544	11605	9689
545	11628	9669
546	11656	9653
547	11686	9639
548	11704	9614
549	11738	9604
550	11771	9592
551	11802	9579
552	11838	9568
553	11868	9555
554	11902	9543
555	11939	9534
556	11959	9511
557	11989	9497
558	12008	9473
559	12021	9445
560	12042	9423
561	12060	9399
562	12077	9374
563	12091	9347
564	12110	9323
