iter	Logloss
0	0.6326628351
1	0.5770947251
2	0.5321267711
3	0.4903798455
4	0.4566036914
5	0.4297864347
6	0.4074104248
7	0.3853996441
8	0.3666931778
9	0.3485423955
10	0.3335972887
11	0.3216005269
12	0.311003721
13	0.3009856873
14	0.2911565502
15	0.2828514199
16	0.2755160095
17	0.2689355735
18	0.2623707756
19	0.2567367823
20	0.251778505
21	0.2471927763
22	0.2419574151
23	0.2385057548
24	0.2346477875
25	0.231506464
26	0.2274154209
27	0.2242747754
28	0.2221402074
29	0.2200590492
30	0.2179736412
31	0.2155478699
32	0.2138480997
33	0.2116083631
34	0.2099560364
35	0.2084160558
36	0.2067782517
37	0.2050393596
38	0.2032799071
39	0.2019135295
40	0.2006121503
41	0.1995605944
42	0.1983132208
43	0.1969408989
44	0.196206173
45	0.1949737497
46	0.1940268128
47	0.1928406654
48	0.191839384
49	0.1908239981
50	0.1898040652
51	0.1888369574
52	0.1877706009
53	0.1870141934
54	0.1862535586
55	0.1850534167
56	0.1838911885
57	0.1833084155
58	0.1821958347
59	0.1816690543
60	0.1807373115
61	0.1798955073
62	0.1794105833
63	0.1787434407
64	0.1779311044
65	0.1769997622
66	0.1760344708
67	0.1755170217
68	0.1749040727
69	0.1743525473
70	0.1738054325
71	0.1733535065
72	0.1730163694
73	0.172485652
74	0.172124855
75	0.1717775119
76	0.171333854
77	0.1709035284
78	0.1702043076
79	0.1695577218
80	0.1692273317
81	0.168718484
82	0.1683775477
83	0.1677780585
84	0.1674397767
85	0.1669006014
86	0.1665307507
87	0.1659350365
88	0.1654386852
89	0.1650018339
90	0.1643594526
91	0.1637787785
92	0.1634584304
93	0.1630880584
94	0.1626485626
95	0.1624611361
96	0.1620884005
97	0.1617931958
98	0.161371256
99	0.1610183295
100	0.1608159
101	0.1605364403
102	0.1601786707
103	0.1598721056
104	0.1594006305
105	0.1590164574
106	0.1586621768
107	0.1584854393
108	0.1581245513
109	0.1577847844
110	0.157628798
111	0.157251366
112	0.1568960703
113	0.1565118565
114	0.1562054746
115	0.1558566007
116	0.1554267579
117	0.155091205
118	0.1547769528
119	0.1546118492
120	0.15420603
121	0.1538188361
122	0.1535561017
123	0.1531776583
124	0.1529456778
125	0.1526769973
126	0.1525132253
127	0.1522663922
128	0.1519142603
129	0.1516499763
130	0.1513730668
131	0.1511153367
132	0.1508536052
133	0.1507019264
134	0.1503524943
135	0.1500967108
136	0.1497944188
137	0.1495709761
138	0.149286194
139	0.1488500648
140	0.1486187609
141	0.1482957121
142	0.1479464688
143	0.1476031111
144	0.1474323881
145	0.1471356322
146	0.1467900268
147	0.1465032267
148	0.1462642504
149	0.1460027907
150	0.1458315621
151	0.1455120524
152	0.1453431278
153	0.1450342043
154	0.1449287126
155	0.1446248923
156	0.1443848673
157	0.1440876531
158	0.1439314884
159	0.1437495431
160	0.143385718
161	0.1430393738
162	0.142869352
163	0.1426163072
164	0.1422703032
165	0.1419460689
166	0.1417666468
167	0.1415898603
168	0.1413691803
169	0.1410840036
170	0.1408881156
171	0.14069302
172	0.14039973
173	0.1401809886
174	0.1400334981
175	0.1398157366
176	0.1394634448
177	0.1392114171
178	0.1390561322
179	0.1389282827
180	0.1387682516
181	0.138561006
182	0.1383205195
183	0.1380749849
184	0.1378807127
185	0.1376051905
186	0.1374655855
187	0.1372020765
188	0.1369405014
189	0.1366614482
190	0.136587657
191	0.1365043501
192	0.1362431079
193	0.1361666626
194	0.1359460856
195	0.1357499382
196	0.1355661861
197	0.1352890689
198	0.1351771057
199	0.1350045847
200	0.1348745672
201	0.1346867081
202	0.134344944
203	0.1340455174
204	0.1338174122
205	0.1335270393
206	0.1333417306
207	0.1332682031
208	0.1330901169
209	0.1328323604
210	0.132634023
211	0.1323427611
212	0.1321290327
213	0.1319076113
214	0.1317878023
215	0.1317227868
216	0.1314568456
217	0.131216993
218	0.1309873943
219	0.1309006272
220	0.1305976899
221	0.1303647328
222	0.1301122939
223	0.1298720347
224	0.1297082954
225	0.1294962745
226	0.1292629485
227	0.1290097221
228	0.1288937109
229	0.128733985
230	0.1284961356
231	0.1283227027
232	0.1280920953
233	0.1279282427
234	0.1277521243
235	0.1276946654
236	0.1274717051
237	0.1273974154
238	0.1271111857
239	0.1269026005
240	0.126699117
241	0.1264552453
242	0.1262279838
243	0.1260389138
244	0.1258625056
245	0.125634629
246	0.1254443967
247	0.1252569235
248	0.1250714873
249	0.1249370461
250	0.1247692878
251	0.1245571754
252	0.1244376936
253	0.1242323486
254	0.124086581
255	0.1239734652
256	0.1238107439
257	0.1236257536
258	0.1235371925
259	0.1233604086
260	0.1231611095
261	0.1230686265
262	0.1229610178
263	0.1227887291
264	0.1226097206
265	0.1225008823
266	0.1223214002
267	0.1222258206
268	0.1220863884
269	0.1219704227
270	0.1218104823
271	0.1215908856
272	0.1214220428
273	0.121328327
274	0.1212005111
275	0.1209897247
276	0.1207874034
277	0.1206222448
278	0.1204237906
279	0.1202269658
280	0.1200595465
281	0.1199216949
282	0.1198001948
283	0.1196282956
284	0.1193896093
285	0.119230439
286	0.1190739432
287	0.1188342263
288	0.1186558398
289	0.1185087987
290	0.1183120424
291	0.118218366
292	0.1181369662
293	0.1180085987
294	0.1178630355
295	0.1177232341
296	0.1175580915
297	0.1173500754
298	0.1172424765
299	0.117076432
300	0.1169651791
301	0.1167614836
302	0.1165989304
303	0.116460082
304	0.1163352586
305	0.1162678485
306	0.1161710537
307	0.1160706092
308	0.1159021315
309	0.1156442619
310	0.115465462
311	0.1152409515
312	0.1151230084
313	0.1149799912
314	0.1148881625
315	0.1148506085
316	0.1147075182
317	0.1145082619
318	0.1143262821
319	0.1141260899
320	0.1139259874
321	0.1137755033
322	0.1136271985
323	0.1135927044
324	0.1134819321
325	0.1133593999
326	0.113215328
327	0.1131149768
328	0.1130391739
329	0.1128740911
330	0.112773258
331	0.1126014118
332	0.112442484
333	0.1123142158
334	0.1122265385
335	0.1121817698
336	0.1120252126
337	0.1118477291
338	0.1117327837
339	0.1117014443
340	0.1116123333
341	0.1114977571
342	0.1113136529
343	0.1111028745
344	0.1109247201
345	0.1108455762
346	0.1106935475
347	0.1105716585
348	0.110417054
349	0.1102886493
350	0.1100842309
351	0.1099381643
352	0.109776844
353	0.1096074191
354	0.1095045291
355	0.109332294
356	0.1092166449
357	0.109071211
358	0.1089698148
359	0.1088683059
360	0.1087114003
361	0.1085688168
362	0.1084122901
363	0.1082762027
364	0.1082007072
365	0.1080509635
366	0.1079207115
367	0.1078161852
368	0.1077489556
369	0.107685423
370	0.1075937404
371	0.1075375855
372	0.1074140589
373	0.1072814029
374	0.107179894
375	0.1070771856
376	0.1069144361
377	0.106811284
378	0.1066542212
379	0.1065125836
380	0.1063750916
381	0.1062330072
382	0.1060279899
383	0.1059735236
384	0.1059266207
385	0.1058092308
386	0.1056427215
387	0.1054479817
388	0.1052620777
389	0.1051519746
390	0.1050451343
391	0.1049059529
392	0.1048241393
393	0.1046494562
394	0.1045589484
395	0.1044617576
396	0.1042940841
397	0.104170289
398	0.1040376134
399	0.1039088914
400	0.1037328055
401	0.1035992855
402	0.1034957966
403	0.1033384302
404	0.1031752395
405	0.1030968472
406	0.102973626
407	0.1028677417
408	0.1027698025
409	0.1026359775
410	0.1025227789
411	0.1024134116
412	0.1023035336
413	0.1021773819
414	0.1020563765
415	0.1019762597
416	0.1018692081
417	0.1017581366
418	0.1016067401
419	0.1015014461
420	0.1014397654
421	0.1013384594
422	0.101190445
423	0.1011331587
424	0.1010689751
425	0.1009814941
426	0.1008424122
427	0.1007656235
428	0.1006347829
429	0.1005723007
430	0.1005131425
431	0.1004371622
432	0.1003658791
433	0.1002510674
434	0.1001835896
435	0.1000204645
436	0.09997975882
437	0.09986163704
438	0.09975699204
439	0.09963563702
440	0.09953374433
441	0.09946585998
442	0.09937552236
443	0.09926767138
444	0.09912172914
445	0.09902352494
446	0.09891159153
447	0.09882199038
448	0.09873225215
449	0.09864556342
450	0.09854647414
451	0.09845462953
452	0.09834153671
453	0.09817841552
454	0.09803504393
455	0.0979754152
456	0.09783542084
457	0.09773674562
458	0.09760396152
459	0.09742944811
460	0.09731814408
461	0.09721877487
462	0.09716008858
463	0.09708188891
464	0.09693313944
465	0.09679417086
466	0.09669922102
467	0.09664544186
468	0.09656464102
469	0.0964311024
470	0.09640505762
471	0.09631571767
472	0.09619936632
473	0.09612602296
474	0.09605287815
475	0.09599151589
476	0.09592359678
477	0.09586624578
478	0.09577960185
479	0.09571482755
480	0.09565078986
481	0.09553559417
482	0.09552557807
483	0.09547555484
484	0.09531422723
485	0.09521645082
486	0.09516149974
487	0.09506405929
488	0.09501505425
489	0.09495527611
490	0.09490513368
491	0.09481849019
492	0.09477857385
493	0.09476717401
494	0.09468594856
495	0.09461689116
496	0.09454231751
497	0.09443729603
498	0.09437960083
499	0.094271869
500	0.09426010825
501	0.09417863711
502	0.09406856884
503	0.09400554799
504	0.09395175073
505	0.09385678268
506	0.09377755088
507	0.09369017593
508	0.09363409851
509	0.09354246859
510	0.09350368979
511	0.09341282103
512	0.09334668905
513	0.09333951126
514	0.09326986205
515	0.09326019445
516	0.09312503604
517	0.09311497765
518	0.09305372723
519	0.09298541416
520	0.09289603284
521	0.09284475847
522	0.09277273363
523	0.09266180731
524	0.09252074126
525	0.09239948029
526	0.09228630733
527	0.09220527659
528	0.09205760989
529	0.09197066311
530	0.09190566965
531	0.0918538253
532	0.09175976067
533	0.09170384604
534	0.09162689374
535	0.09154377984
536	0.09143709372
537	0.09130271974
538	0.09127748587
539	0.09117877531
540	0.0911191943
541	0.09106211348
542	0.09092929492
543	0.09090416252
544	0.09089515701
545	0.09086969778
546	0.09078826418
547	0.09077044997
548	0.09065974389
549	0.09060056193
550	0.09050658873
551	0.09042107692
552	0.09031340355
553	0.090214426
554	0.09011392838
555	0.08998706553
556	0.08993788624
557	0.08986225073
558	0.08981930373
559	0.08973493284
560	0.08968227068
561	0.08967379554
562	0.08962375607
563	0.0895803015
564	0.0895118949
565	0.08946820658
566	0.08946029227
567	0.08936612963
568	0.08935142222
569	0.08930774606
570	0.08916549903
571	0.08908979655
572	0.08895770938
573	0.08885712262
574	0.08881735971
575	0.0887569388
576	0.08869146739
577	0.08860596083
578	0.08850361224
579	0.08843957521
580	0.08835425825
581	0.08826144051
582	0.08817528025
583	0.0880835853
584	0.08802321785
585	0.08792955773
586	0.08787692193
587	0.0878030434
588	0.08774316764
589	0.08761864723
590	0.08758071467
591	0.0874766358
592	0.08740915654
593	0.08733254544
594	0.08731814609
595	0.08728787673
596	0.08722672395
597	0.08715629129
598	0.08712163009
599	0.08705172593
600	0.08701679796
601	0.08694291048
602	0.08684647198
603	0.08674772406
604	0.08672414437
605	0.08667575439
606	0.08661075071
607	0.08652656165
608	0.08643832125
609	0.08638420923
610	0.08633480942
611	0.08628941363
612	0.08625777372
613	0.08618265158
614	0.08609335603
615	0.08604735938
616	0.08595568214
617	0.08587765014
618	0.08579465727
619	0.08573827382
620	0.08565922612
621	0.08557201434
622	0.08549576801
623	0.08542133539
624	0.0853320604
625	0.08524666788
626	0.08516111237
627	0.08507990675
628	0.0849976463
629	0.08491029955
630	0.08485412127
631	0.08478247132
632	0.08471569421
633	0.08459525163
634	0.08452336449
635	0.08444963349
636	0.08436787269
637	0.08428783253
638	0.08424024676
639	0.08416619898
640	0.08407168941
641	0.08397355815
642	0.08391823964
643	0.08385903954
644	0.08374040093
645	0.08368855558
646	0.08356335657
647	0.08350230949
648	0.08345624073
649	0.08340703954
650	0.08338619816
651	0.08330222534
652	0.08326530455
653	0.08318496071
654	0.08314598107
655	0.08308856878
656	0.0830312952
657	0.08298230415
658	0.08292364237
659	0.08285207633
660	0.08274817934
661	0.08272873703
662	0.08265954306
663	0.08257898154
664	0.08254898242
665	0.08251162244
666	0.0824306844
667	0.08238163225
668	0.08230956669
669	0.08225817339
670	0.08219422177
671	0.08208699747
672	0.082000194
673	0.08187446975
674	0.08181047741
675	0.08176142308
676	0.08169635444
677	0.08163977191
678	0.08156618492
679	0.08154137229
680	0.08148218094
681	0.08140873138
682	0.08134358552
683	0.08124293945
684	0.08118892579
685	0.08112200483
686	0.08106983561
687	0.08102617273
688	0.08097476964
689	0.08094798365
690	0.08090375915
691	0.08087466013
692	0.08075578255
693	0.08067578508
694	0.08061703261
695	0.0805486892
696	0.08050808945
697	0.08045091496
698	0.08040703951
699	0.0803852517
700	0.08035110815
701	0.08021983228
702	0.08013991401
703	0.08009099422
704	0.08003087201
705	0.07999861048
706	0.07994604799
707	0.07986209057
708	0.07977359009
709	0.07968005905
710	0.07962719768
711	0.0795535578
712	0.07951430087
713	0.0794167218
714	0.07931590259
715	0.07922914463
716	0.07920112433
717	0.07915139457
718	0.07910964962
719	0.07901397899
720	0.07893481786
721	0.07887367446
722	0.07881001478
723	0.0787227418
724	0.07863688543
725	0.07854919237
726	0.07846598106
727	0.07839146847
728	0.07832965687
729	0.0782005697
730	0.07815054113
731	0.07809606968
732	0.07807031254
733	0.0780143635
734	0.07792784949
735	0.07786048172
736	0.07780855046
737	0.07772966576
738	0.07766303428
739	0.07756909409
740	0.07750676693
741	0.07747193907
742	0.07739187622
743	0.07732396419
744	0.07728647213
745	0.07722700459
746	0.07716766055
747	0.07707721784
748	0.07706428919
749	0.07701955246
750	0.07699282071
751	0.0769307143
752	0.07689074908
753	0.07681538415
754	0.07675464501
755	0.07669367401
756	0.07665968104
757	0.07658808497
758	0.07652935199
759	0.07645607274
760	0.07642381627
761	0.07639066388
762	0.07631396233
763	0.07625768965
764	0.07621389896
765	0.07615464274
766	0.07608529419
767	0.07602049782
768	0.07594700121
769	0.07592176651
770	0.07586056063
771	0.07581572347
772	0.07578418053
773	0.07574476976
774	0.0756930926
775	0.0756146976
776	0.07551929971
777	0.07545763612
778	0.07544563966
779	0.07539464219
780	0.07531024818
781	0.07528135513
782	0.07524131587
783	0.0751840545
784	0.07511663427
785	0.07507269632
786	0.07506225917
787	0.07504632748
788	0.07499880555
789	0.07495846961
790	0.07485798159
791	0.07478968703
792	0.07475379902
793	0.07469456249
794	0.07462965733
795	0.07461948603
796	0.074572041
797	0.07450762076
798	0.07443115323
799	0.07438761999
800	0.07432551613
801	0.07427517811
802	0.0742477493
803	0.07417663171
804	0.07413556029
805	0.07409948131
806	0.07405455349
807	0.07398067676
808	0.07393140887
809	0.073915959
810	0.07388569669
811	0.07386508482
812	0.07381773697
813	0.07378687525
814	0.07374356497
815	0.0736615306
816	0.07364372179
817	0.07360486726
818	0.07353550405
819	0.07349155194
820	0.07341057831
821	0.07334276198
822	0.07328675802
823	0.07322920569
824	0.07316699324
825	0.07314376829
826	0.07306186548
827	0.07302979761
828	0.07295575376
829	0.07291939557
830	0.07288510562
831	0.07286695953
832	0.07280457942
833	0.07273040251
834	0.07269270833
835	0.07263103348
836	0.07258208701
837	0.07250060604
838	0.0724290264
839	0.0723692024
840	0.07233326714
841	0.07229333884
842	0.07223489367
843	0.07216594305
844	0.07212388942
845	0.07207887036
846	0.07201918958
847	0.07194747762
848	0.07190315151
849	0.07184020397
850	0.07179028974
851	0.07176368673
852	0.07174033936
853	0.07169660229
854	0.0716529821
855	0.07156166841
856	0.07154125213
857	0.07152574953
858	0.07151862616
859	0.07147365794
860	0.07143791088
861	0.07136730763
862	0.07130897445
863	0.07124034673
864	0.07113060765
865	0.07106363059
866	0.07101851908
867	0.0709546818
868	0.07088502323
869	0.07082865149
870	0.07080972541
871	0.07075085535
872	0.07070126201
873	0.07062943053
874	0.07061014421
875	0.07058992489
876	0.07055321783
877	0.07051492487
878	0.07045871729
879	0.07037455455
880	0.07029236249
881	0.07023382051
882	0.07016774521
883	0.07010883824
884	0.07005567389
885	0.0700019826
886	0.06994478464
887	0.06988268997
888	0.06983634827
889	0.06979272501
890	0.0697240973
891	0.06963798118
892	0.0696158946
893	0.06954323755
894	0.06950820448
895	0.06947287636
896	0.06940438453
897	0.06935334735
898	0.06928654179
899	0.06923858592
900	0.06919608771
901	0.06914615663
902	0.06910772895
903	0.06904956385
904	0.06902660464
905	0.06893602053
906	0.0689149483
907	0.06887390025
908	0.0688535458
909	0.06881836652
910	0.06876450861
911	0.06872700621
912	0.06866927581
913	0.06864551986
914	0.06861448054
915	0.06857761835
916	0.06854969203
917	0.06851003875
918	0.0685007172
919	0.06844181413
920	0.06842405599
921	0.06837317675
922	0.06833555569
923	0.06826682755
924	0.06818690278
925	0.06814419441
926	0.06810543677
927	0.06803773379
928	0.06798437945
929	0.06793557783
930	0.06787232513
931	0.06781537447
932	0.06780512164
933	0.06775605477
934	0.06772081268
935	0.06767633953
936	0.06764072364
937	0.06759207855
938	0.06755829334
939	0.06751535485
940	0.06748015815
941	0.06745651099
942	0.06739931393
943	0.06732660758
944	0.06727269869
945	0.06723938886
946	0.06719287234
947	0.06716656306
948	0.06712320113
949	0.06707935164
950	0.06701457078
951	0.06698324444
952	0.06692400429
953	0.06688310482
954	0.06686499689
955	0.06683493339
956	0.06677976461
957	0.06674243493
958	0.06668148437
959	0.06665434973
960	0.06659906808
961	0.06655237446
962	0.06653697647
963	0.06650676859
964	0.06646426276
965	0.06641930079
966	0.06639221314
967	0.06633618456
968	0.06627867351
969	0.06624115338
970	0.06616638473
971	0.06615968185
972	0.0661145374
973	0.0660758615
974	0.06604716464
975	0.06602493629
976	0.06598412925
977	0.06596320846
978	0.06591590216
979	0.06589648077
980	0.06585702696
981	0.06582414759
982	0.06577690972
983	0.06577078757
984	0.06568992181
985	0.06565656705
986	0.06561280481
987	0.06557342551
988	0.06552445066
989	0.06550572475
990	0.06547772245
991	0.06543436004
992	0.06538972906
993	0.06535349971
994	0.06528629849
995	0.06525063289
996	0.06522505892
997	0.0651807726
998	0.06516262244
999	0.06511422039
